Date,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,ETH_Dividends,ETH_Stock Splits,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Dividends,BTC_Stock Splits,ETH_log_return_24h,ETH_direction
2020-01-04 00:00:00+00:00,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,7430904515,0.0,0.0,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,0.0,0.0,0.006668095738992252,1
2020-01-05 00:00:00+00:00,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,7526675353,0.0,0.0,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,0.0,0.0,0.008899486564836377,1
2020-01-06 00:00:00+00:00,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,9093747121,0.0,0.0,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,0.0,0.0,0.05723529011681859,1
2020-01-07 00:00:00+00:00,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,9257954672,0.0,0.0,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,0.0,0.0,-0.005281702419175781,0
2020-01-08 00:00:00+00:00,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,9387194957,0.0,0.0,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,0.0,0.0,-0.01605259966408529,0
2020-01-09 00:00:00+00:00,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,7697325348,0.0,0.0,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,0.0,0.0,-0.016264648684096536,0
2020-01-10 00:00:00+00:00,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,9084816203,0.0,0.0,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,0.0,0.0,0.035237411855320956,1
2020-01-11 00:00:00+00:00,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,9332208590,0.0,0.0,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,0.0,0.0,-0.0072269384526348944,0
2020-01-12 00:00:00+00:00,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,8528167453,0.0,0.0,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,0.0,0.0,0.020407997067783012,1
2020-01-13 00:00:00+00:00,146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,8378529470,0.0,0.0,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,0.0,0.0,-0.01135714300755629,0
