ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,ETH_Dividends,ETH_Stock Splits,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Dividends,BTC_Stock Splits,ETH_log_return_24h,ETH_direction,ETH_Open_extreme_event,ETH_High_extreme_event,ETH_Low_extreme_event,ETH_Close_extreme_event,BTC_Open_extreme_event,BTC_High_extreme_event,BTC_Low_extreme_event,BTC_Close_extreme_event
142.65301933554295,145.75473082792735,138.31923759613795,144.34402833780325,7526675353,0.0,0.0,8105.334007937028,8303.349798771365,7973.789947953188,8198.98200646881,19725074095,0.0,0.0,0.008899486564836377,1,0,0,0,0,0,0,0,0
142.4038786311349,145.53384263981457,138.0959067142695,144.0867224674702,9093747121,0.0,0.0,8108.519880204338,8306.18154716466,7976.986523993249,8202.05567832437,23276261598,0.0,0.0,0.05723529011681859,1,0,0,0,0,0,0,0,0
141.88552470116193,145.0746857441381,137.6317844585932,143.55192870055828,9257954672,0.0,0.0,8115.0349744598025,8311.969527834726,7983.538594687927,8208.312519078567,28767291327,0.0,0.0,-0.005281702419175781,0,0,0,0,0,0,0,0,0
141.34582908858377,144.5970548862594,137.14910777333435,142.99569544474414,9387194957,0.0,0.0,8121.702278182999,8317.88964046996,7990.260286676527,8214.684126716822,31672559265,0.0,0.0,-0.01605259966408529,0,0,0,0,0,0,0,0,0
140.79778401683356,144.1121390056435,136.659065989389,142.43087507838456,7697325348,0.0,0.0,8128.430023551818,8323.862425690122,7997.039116050984,8221.116902234467,24045990466,0.0,0.0,-0.016264648684096536,0,0,0,0,0,0,0,0,0
140.23746125463634,143.61655494676864,136.15827504395293,141.8535789009466,9084816203,0.0,0.0,8135.245848826917,8329.911782525187,8003.908718928186,8227.627125571547,28714583844,0.0,0.0,0.035237411855320956,1,0,0,0,0,0,0,0,0
140.23746125463634,143.61655494676864,136.15827504395293,141.83887246599124,9332208590,0.0,0.0,8146.200824444312,8340.281383401529,8015.297128561677,8238.053693312666,25521165085,0.0,0.0,-0.0072269384526348944,0,0,0,0,0,0,0,0,0
140.26414033005167,143.85376494930603,136.3003206231754,141.83887246599124,8528167453,0.0,0.0,8161.70234118385,8355.399710980611,8031.648226884951,8252.786229046866,22903438381,0.0,0.0,0.020407997067783012,1,0,0,0,0,0,0,0,0
140.71066639113005,144.4373216800781,136.80384452994116,142.26179991115237,8378529470,0.0,0.0,8179.8772052411305,8373.300787482955,8050.9169012797465,8270.042447469483,22482910688,0.0,0.0,-0.01135714300755629,0,0,0,0,0,0,0,0,0
141.49697308391248,145.38526662945367,137.64643105055345,143.02227715135425,16712318373,0.0,0.0,8201.903504798654,8395.219078293989,8074.390458902673,8290.939573691565,44841784107,0.0,0.0,0.140333167597574,1,0,0,0,0,0,0,0,0
142.40792855699507,146.4679695281981,138.6140304558383,143.9063969170138,15173694057,0.0,0.0,8225.442637660602,8418.708572391122,8099.50968415731,8313.269236802938,40102834650,0.0,0.0,0.0016576834890892594,1,0,0,0,0,0,0,0,0
143.43592840352304,147.6773915483013,139.69912659103548,144.90659795231304,13735193018,0.0,0.0,8250.41865869398,8443.68934514759,8126.191629920663,8336.958888298925,31313981931,0.0,0.0,-0.011128700578588896,0,0,0,0,0,0,0,0,0
144.7906346432029,149.23698372135485,141.1101046869988,146.23133671572356,14997091826,0.0,0.0,8279.0809417348,8472.516165396495,8156.895990725891,8364.137083194326,36372139320,0.0,0.0,0.038128127334989784,1,0,0,0,0,0,0,0,0
146.43401772055395,151.10614598623604,142.80912104893338,147.8427982555879,14929342256,0.0,0.0,8311.015367812448,8504.755932886808,8191.169392841546,8394.412964497093,32337772627,0.0,0.0,0.02649747266526811,1,0,0,0,0,0,0,0,0
148.0878771839083,152.98971699792583,144.52053410908212,149.46440928834554,13713374132,0.0,0.0,8343.353239414068,8537.397168320455,8225.880546639144,8425.055551770805,34217320471,0.0,0.0,-0.049060126946718775,0,0,0,0,0,0,0,0,0
149.76039769397795,154.89652064396725,146.2525435400812,151.1043078983633,11144529787,0.0,0.0,8376.19107700972,8570.540274829931,8261.135277688994,8456.155046102458,26422375678,0.0,0.0,0.0009019433680608734,1,0,0,0,0,0,0,0,0
151.56626768808047,156.9480970106715,148.11869088667387,152.87650545975205,9789369362,0.0,0.0,8410.699187507094,8605.414708555894,8298.210094121987,8488.827578549097,24097418512,0.0,0.0,0.015300237317380108,1,0,0,0,0,0,0,0,0
153.44211010964008,159.07725909663074,150.05621652173576,154.71799533634154,9209827928,0.0,0.0,8446.228686567705,8641.338930840526,8336.396825418651,8522.454816336343,22600204051,0.0,0.0,-0.00830203536353231,0,0,0,0,0,0,0,0,0
155.61541157333062,161.52569893594898,152.29073161594397,156.8549379885989,10396868698,0.0,0.0,8485.154452819672,8680.803819210996,8378.288983312908,8559.293501474478,25770680779,0.0,0.0,-0.03240158193424723,0,0,0,0,0,0,0,0,0
158.10601519333676,164.31450179576353,154.84191709877987,159.30705907250368,10657671162,0.0,0.0,8527.683842489841,8724.02682988693,8424.112857880757,8599.540755003669,24397913026,0.0,0.0,0.000752314460222342,1,0,0,0,0,0,0,0,0
160.75296673107977,167.2728113755296,157.5502410503901,161.9143427616575,8256956802,0.0,0.0,8572.149365983274,8769.258055001676,8472.047825336014,8641.610350288378,19647331549,0.0,0.0,-0.010897740317509516,0,0,0,0,0,0,0,0,0
